Country,Year,GDP per Capita
Upper middle income,2021,9770.29069696583
Upper middle income,2020,8228.64336599656
Upper middle income,2019,8551.4409621973
Upper middle income,2018,8473.68198859219
World,2021,12352.73608496
World,2020,10916.687666264
World,2019,11334.8430932207
World,2018,11288.8842617304
Afghanistan,2021,356.496214115892
Afghanistan,2020,510.787063366811
Afghanistan,2019,496.6025042585
Afghanistan,2018,491.337221382603
Albania,2021,6413.28328605026
Albania,2020,5370.77862312929
Albania,2019,5460.42823730592
Albania,2018,5365.48934672897
Algeria,2021,4160.55926736925
Algeria,2020,3743.5419522929
Algeria,2019,4468.45341883656
Algeria,2018,4577.21029180491
American Samoa,2021,15236.1604875571
American Samoa,2020,14489.2586563775
American Samoa,2019,12886.1359517218
American Samoa,2018,12552.0546868861
Andorra,2021,42425.6996756291
Andorra,2020,37361.0900666982
Andorra,2019,41257.8045846483
Andorra,2018,42819.7745797624
Angola,2021,1925.87466082167
Angola,2020,1449.92286669308
Angola,2019,2189.85571407618
Angola,2018,2538.59139143371
Antigua and Barbuda,2021,17340.3790692554
Antigua and Barbuda,2020,15360.4544160475
Antigua and Barbuda,2019,18884.3729680383
Antigua and Barbuda,2018,18273.4270684912
Argentina,2021,10738.0179223384
Argentina,2020,8535.59938004389
Argentina,2019,9955.97478680428
Argentina,2018,11752.7998922979
Armenia,2021,4685.17997128509
Armenia,2020,4268.68093304583
Armenia,2019,4597.22887399548
Armenia,2018,4196.00562301769
Aruba,2021,27200.0610793969
Aruba,2020,22855.9323200761
Aruba,2019,31096.2050738676
Aruba,2018,30082.1276448186
Australia,2021,60607.7788605166
Australia,2020,51791.540179984
Australia,2019,54972.7017885437
Australia,2018,57196.4220783778
Austria,2021,53648.7190742245
Austria,2020,48716.4098900349
Austria,2019,49885.9947355204
Austria,2018,51194.0749841299
Azerbaijan,2021,5408.04535175023
Azerbaijan,2020,4229.91064904503
Azerbaijan,2019,4805.75371765917
Azerbaijan,2018,4739.7943123408
"Bahamas, The",2021,28682.3270000732
"Bahamas, The",2020,25155.6725432789
"Bahamas, The",2019,32979.5401279534
"Bahamas, The",2018,32124.4051059669
Bahrain,2021,27147.8083882286
Bahrain,2020,24342.8444554718
Bahrain,2019,27259.7438599327
Bahrain,2018,26324.4066549559
Bangladesh,2021,2482.84917843357
Bangladesh,2020,2248.85078828233
Bangladesh,2019,2129.79896954606
Bangladesh,2018,1965.24372731467
Barbados,2021,18696.7858952957
Barbados,2020,18347.1109131055
Barbados,2019,20583.7265786414
Barbados,2018,20055.915870771
Belarus,2021,7489.71894713888
Belarus,2020,6542.8645398436
Belarus,2019,6837.76832136779
Belarus,2018,6360.05310087258
Belgium,2021,51655.7883303715
Belgium,2020,45906.2875805246
Belgium,2019,46716.6227467964
Belgium,2018,47487.2100392561
Belize,2021,6122.61158580079
Belize,2020,5227.19363786168
Belize,2019,6190.04792278445
Belize,2018,6031.28139580144
Benin,2021,1318.83497843483
Benin,2020,1197.50136428063
Benin,2019,1130.82135304977
Benin,2018,1151.74096952152
Bermuda,2021,112712.025120653
Bermuda,2020,106973.175732348
Bermuda,2019,115798.040775578
Bermuda,2018,113204.82210838
Bhutan,2021,3570.61257915864
Bhutan,2020,3191.66907031782
Bhutan,2019,3576.87987077877
Bhutan,2018,3400.20417159422
Bolivia,2021,3384.84486479247
Bolivia,2020,3099.94219044572
Bolivia,2019,3503.8960106182
Bolivia,2018,3500.72642189371
Bosnia and Herzegovina,2021,7295.3438240957
Bosnia and Herzegovina,2020,6130.31133245161
Bosnia and Herzegovina,2019,6122.3753450882
Bosnia and Herzegovina,2018,6047.84584261133
Botswana,2021,7808.20623956293
Botswana,2020,6323.31419156209
Botswana,2019,7172.08956480028
Botswana,2018,7407.95940141786
Brazil,2021,7972.53665048385
Brazil,2020,7074.19378281866
Brazil,2019,9029.83326742175
Brazil,2018,9300.66164936497
Brunei Darussalam,2021,31006.9636220576
Brunei Darussalam,2020,26834.3592463839
Brunei Darussalam,2019,30426.5730284202
Brunei Darussalam,2018,30988.1190497851
Bulgaria,2021,12274.0775950496
Bulgaria,2020,10198.5388313404
Bulgaria,2019,9838.60058985384
Bulgaria,2018,9436.14479876055
Burkina Faso,2021,895.535288442991
Burkina Faso,2020,825.237038782475
Burkina Faso,2019,764.853077774946
Burkina Faso,2018,777.465618514048
Burundi,2021,214.091455416133
Burundi,2020,210.008139902508
Burundi,2019,210.236494521532
Burundi,2018,224.89939239264
Cabo Verde,2021,3971.4440744985
Cabo Verde,2020,3539.22662027109
Cabo Verde,2019,4380.7811916403
Cabo Verde,2018,4294.96510456428
Cambodia,2021,2167.40324198499
Cambodia,2020,2081.73914242939
Cambodia,2019,2225.87705485686
Cambodia,2018,2036.67377566578
Cameroon,2021,1672.32657340872
Cameroon,2020,1555.60370660749
Cameroon,2019,1555.22660476477
Cameroon,2018,1610.69641591017
Canada,2021,52496.8441693242
Canada,2020,43537.839298904
Canada,2019,46352.8693445211
Canada,2018,46539.1761570405
Cayman Islands,2021,86438.445257404
Cayman Islands,2020,82338.7982853661
Cayman Islands,2019,88254.2903677044
Cayman Islands,2018,83865.5531568184
Central African Republic,2021,492.263142830507
Central African Republic,2020,462.879071294011
Central African Republic,2019,449.228467602439
Central African Republic,2018,455.243962859534
Chad,2021,660.747192555507
Chad,2020,622.095543396442
Chad,2019,678.142035723965
Chad,2018,695.642393675941
